Archon Kite Shield	Art/2DItems/Armours/Shields/ShieldStrInt5
Arena Plate	Art/2DItems/Armours/BodyArmours/BodyStr2C
Arming Axe	Art/2DItems/Weapons/OneHandWeapons/OneHandAxes/OneHandAxe6
Artillery Quiver	Art/2DItems/Quivers/ChiselQuiver
Ashbark Tincture	Art/2DItems/Flasks/IgniteSap
Ashscale Talisman	Art/2DItems/Amulets/TalismanWhite8
Assassin Bow	Art/2DItems/Weapons/TwoHandWeapons/Bows/Bow5
Assassin's Boots	Art/2DItems/Armours/Boots/BootsDexInt3
Assassin's Garb	Art/2DItems/Armours/BodyArmours/BodyDex2C
Assassin's Mitts	Art/2DItems/Armours/Gloves/GlovesDexInt2
Assembler Wand	Art/2DItems/Weapons/OneHandWeapons/Wands/HeistWand
Astral Leather	Art/2DItems/Armours/BodyArmours/BodyDex3C
Astral Plate	Art/2DItems/Armours/BodyArmours/BodyStr1C
Astrolabe Amulet	Art/2DItems/Amulets/HeistAmulet1
Atonement Mask	Art/2DItems/Armours/Helmets/HelmetStrDexR
Auric Mace	Art/2DItems/Weapons/OneHandWeapons/OneHandMaces/OneHandMace7
Aventail Helmet	Art/2DItems/Armours/Helmets/HelmetStrInt5
Avian Twins Talisman	Art/2DItems/Amulets/TalismanBlack2
Awl	Art/2DItems/Weapons/OneHandWeapons/Claws/Claw3
Banishing Blade	Art/2DItems/Weapons/TwoHandWeapons/TwoHandSwords/HeistTwoHandSword
Barbed Club	Art/2DItems/Weapons/OneHandWeapons/OneHandMaces/OneHandMace3
Barbute Helmet	Art/2DItems/Armours/Helmets/HelmetStr3
Baroque Round Shield	Art/2DItems/Armours/Shields/ShieldStrDex5
Basalt Flask	Art/2DItems/Flasks/stone
Baselard	Art/2DItems/Weapons/OneHandWeapons/OneHandSwords/OneHandSword4
Basemetal Treads	Art/2DItems/Armours/Boots/RitualStrBoots
Basket Rapier	Art/2DItems/Weapons/OneHandWeapons/Rapiers/Rapier4
Bastard Sword	Art/2DItems/Weapons/TwoHandWeapons/TwoHandSwords/TwoHandSword3
Battered Foil	Art/2DItems/Weapons/OneHandWeapons/Rapiers/Rapier3
Battered Helm	Art/2DItems/Armours/Helmets/HelmetStrDex1
Battery Staff	Art/2DItems/Weapons/TwoHandWeapons/Staves/HeistStaff
Battle Buckler	Art/2DItems/Armours/Shields/ShieldDex5
Battle Hammer	Art/2DItems/Weapons/OneHandWeapons/OneHandMaces/OneHandMace5
Battle Lamellar	Art/2DItems/Armours/BodyArmours/BodyStr4A
Battle Plate	Art/2DItems/Armours/BodyArmours/BodyStr2B
Battle Sword	Art/2DItems/Weapons/OneHandWeapons/OneHandSwords/OneHandSword5
Behemoth Mace	Art/2DItems/Weapons/OneHandWeapons/OneHandMaces/OneHandMace9
Bismuth Flask	Art/2DItems/Flasks/bismuth
Black Maw Talisman	Art/2DItems/Amulets/TalismanWhite3
Bladed Mace	Art/2DItems/Weapons/OneHandWeapons/OneHandMaces/OneHandMace6
Blasting Blade	Art/2DItems/Weapons/TwoHandWeapons/TwoHandSwords/HeistTwoHandSword
Blazing Arrow Quiver	Art/2DItems/Quivers/QuiverFire
Blinder	Art/2DItems/Weapons/OneHandWeapons/Claws/Claw5
Blizzard Crown	Art/2DItems/Armours/Helmets/HelmetDexIntR
Blood Raiment	Art/2DItems/Armours/BodyArmours/BodyDexInt1C
Blood Sap Tincture	Art/2DItems/Flasks/BleedSap
Blood Sceptre	Art/2DItems/Weapons/OneHandWeapons/Scepters/scepter6
Blue Pearl Amulet	Art/2DItems/Amulets/BluePearlAmulet
Blunt Arrow Quiver	Art/2DItems/Quivers/QuiverBlunt
Blunt Force Condenser	Art/2DItems/Weapons/TwoHandWeapons/TwoHandMaces/HeistTwoHandMace
Boarding Axe	Art/2DItems/Weapons/OneHandWeapons/OneHandAxes/OneHandAxe3
Bone Armour	Art/2DItems/Armours/BodyArmours/BodyDexInt4C
Bone Bow	Art/2DItems/Weapons/TwoHandWeapons/Bows/Bow6
Bone Circlet	Art/2DItems/Armours/Helmets/HelmetInt5
Bone Helmet	Art/2DItems/Armours/Helmets/BoneHelm
Bone Ring	Art/2DItems/Rings/BoneRing
Bone Spirit Shield	Art/2DItems/Armours/Shields/ShieldInt3
Bonespire Talisman	Art/2DItems/Amulets/TalismanWhite7
Boom Mace	Art/2DItems/Weapons/OneHandWeapons/OneHandMaces/HeistOneHandMace
Boot Blade	Art/2DItems/Weapons/OneHandWeapons/Daggers/Dagger5
Boot Knife	Art/2DItems/Weapons/OneHandWeapons/Daggers/Dagger5
Borealwood Tincture	Art/2DItems/Flasks/FreezeSap
Branded Kite Shield	Art/2DItems/Armours/Shields/ShieldStrInt2
Brass Maul	Art/2DItems/Weapons/TwoHandWeapons/TwoHandMaces/TwoHandMace6
Brass Spirit Shield	Art/2DItems/Armours/Shields/ShieldInt6
Breach Ring	Art/2DItems/Rings/BreachRing
Breakrib Talisman	Art/2DItems/Amulets/TalismanWhite1
Brimstone Treads	Art/2DItems/Armours/Boots/RitualStrBoots
Broad Axe	Art/2DItems/Weapons/OneHandWeapons/OneHandAxes/OneHandAxe5
Broad Sword	Art/2DItems/Weapons/OneHandWeapons/OneHandSwords/OneHandSword4
Broadhead Arrow Quiver	Art/2DItems/Quivers/QuiverBroadhead
Bronze Gauntlets	Art/2DItems/Armours/Gloves/GlovesStr3
Bronze Plate	Art/2DItems/Armours/BodyArmours/BodyStr1B
Bronze Sceptre	Art/2DItems/Weapons/OneHandWeapons/Scepters/scepter3
Bronze Tower Shield	Art/2DItems/Armours/Shields/ShieldStr5
Bronzescale Boots	Art/2DItems/Armours/Boots/BootsStrDex3
Bronzescale Gauntlets	Art/2DItems/Armours/Gloves/GlovesStrDex3
Buckskin Tower Shield	Art/2DItems/Armours/Shields/ShieldStr3
Buckskin Tunic	Art/2DItems/Armours/BodyArmours/BodyDex1B
Burnished Foil	Art/2DItems/Weapons/OneHandWeapons/Rapiers/Rapier3
Burnished Spiked Shield	Art/2DItems/Armours/Shields/ShieldDexInt4
Butcher Axe	Art/2DItems/Weapons/OneHandWeapons/OneHandAxes/OneHandAxe5
Butcher Knife	Art/2DItems/Weapons/OneHandWeapons/Daggers/Dagger3
Butcher Sword	Art/2DItems/Weapons/TwoHandWeapons/TwoHandSwords/TwoHandSword2
Cabalist Regalia	Art/2DItems/Armours/BodyArmours/BodyStrDexInt1C
Calling Wand	Art/2DItems/Weapons/OneHandWeapons/Wands/ConvokingWand
Callous Mask	Art/2DItems/Armours/Helmets/HelmetDexInt7
Capacity Rod	Art/2DItems/Weapons/TwoHandWeapons/Staves/HeistWarStaff
Capricious Spiritblade	Art/2DItems/Weapons/OneHandWeapons/OneHandSwords/HeistOneHandSword
Cardinal Round Shield	Art/2DItems/Armours/Shields/ShieldStrDex4
Carnal Armour	Art/2DItems/Armours/BodyArmours/BodyDexInt4C
Carnal Boots	Art/2DItems/Armours/Boots/BootsDexInt4
Carnal Mitts	Art/2DItems/Armours/Gloves/GlovesDexInt3
Carnal Sceptre	Art/2DItems/Weapons/OneHandWeapons/Scepters/scepter7
Carved Wand	Art/2DItems/Weapons/OneHandWeapons/Wands/Wand3
Carving Knife	Art/2DItems/Weapons/OneHandWeapons/Daggers/Dagger3
Cat's Paw	Art/2DItems/Weapons/OneHandWeapons/Claws/Claw4
Cedar Tower Shield	Art/2DItems/Armours/Shields/ShieldStr4
Ceremonial Axe	Art/2DItems/Weapons/OneHandWeapons/OneHandAxes/OneHandAxe7
Ceremonial Kite Shield	Art/2DItems/Armours/Shields/ShieldStrInt5
Ceremonial Mace	Art/2DItems/Weapons/OneHandWeapons/OneHandMaces/OneHandMace7
Cerulean Ring	Art/2DItems/Rings/CeruleanRing
Chain Belt	Art/2DItems/Belts/Belt2
Chain Boots	Art/2DItems/Armours/Boots/BootsStrInt1
Chain Gloves	Art/2DItems/Armours/Gloves/GlovesStrInt1
Chain Hauberk	Art/2DItems/Armours/BodyArmours/BodyStrInt2C
Chainmail Doublet	Art/2DItems/Armours/BodyArmours/BodyStrInt2B
Chainmail Tunic	Art/2DItems/Armours/BodyArmours/BodyStrInt2A
Chainmail Vest	Art/2DItems/Armours/BodyArmours/BodyStrInt1A
Champion Kite Shield	Art/2DItems/Armours/Shields/ShieldStrInt4
Charan's Sword	Art/2DItems/Weapons/OneHandWeapons/OneHandSwords/TheGoddessUnleashed
Chest Splitter	Art/2DItems/Weapons/OneHandWeapons/OneHandAxes/OneHandAxe6
Chestplate	Art/2DItems/Armours/BodyArmours/BodyStr2A
Chimerascale Boots	Art/2DItems/Armours/Boots/BootsStrDex2
Chimerascale Gauntlets	Art/2DItems/Armours/Gloves/GlovesStrDex2
Chiming Spirit Shield	Art/2DItems/Armours/Shields/ShieldInt5
Chrysalis Talisman	Art/2DItems/Amulets/NewTalisman2
Citadel Bow	Art/2DItems/Weapons/TwoHandWeapons/Bows/Bow3
Citrine Amulet	Art/2DItems/Amulets/CitrineAmulet
Clasped Boots	Art/2DItems/Armours/Boots/BootsDexInt3
Clasped Mitts	Art/2DItems/Armours/Gloves/GlovesDexInt3
Cleaver	Art/2DItems/Weapons/OneHandWeapons/OneHandAxes/OneHandAxe4
Close Helmet	Art/2DItems/Armours/Helmets/HelmetStr4
Cloth Belt	Art/2DItems/Belts/Belt4
Cloudwhisper Boots	Art/2DItems/Armours/Boots/RitualDexBoots
Clutching Talisman	Art/2DItems/Amulets/TalismanBlack3
Cobalt Jewel	Art/2DItems/Jewels/basicint
Cogwork Ring	Art/2DItems/Rings/HeistRing1
Coiled Staff	Art/2DItems/Weapons/TwoHandWeapons/Staves/Staff5
Coiled Wand	Art/2DItems/Weapons/OneHandWeapons/Wands/Wand5
Cold-attuned Buckler	Art/2DItems/Armours/Shields/DexHeistShield
Colossal Hybrid Flask	Art/2DItems/Flasks/hybridflask1
Colossal Life Flask	Art/2DItems/Flasks/lifeflask7
Colossal Mana Flask	Art/2DItems/Flasks/manaflask7
Colossal Tower Shield	Art/2DItems/Armours/Shields/ShieldStr6
Colosseum Plate	Art/2DItems/Armours/BodyArmours/BodyStr2C
Colossus Mallet	Art/2DItems/Weapons/TwoHandWeapons/TwoHandMaces/TwoHandMace3
Commander's Brigandine	Art/2DItems/Armours/BodyArmours/BodyStrDex2C
Composite Bow	Art/2DItems/Weapons/TwoHandWeapons/Bows/Bow4
Composite Ring	Art/2DItems/Rings/HeistRing2Silver
Compound Bow	Art/2DItems/Weapons/TwoHandWeapons/Bows/Bow4
Compound Spiked Shield	Art/2DItems/Armours/Shields/ShieldDexInt3
Conductive Quiver	Art/2DItems/Quivers/Quiver3
Cone Helmet	Art/2DItems/Armours/Helmets/HelmetStr2
Congregator Wand	Art/2DItems/Weapons/OneHandWeapons/Wands/HeistWand
Conjurer Boots	Art/2DItems/Armours/Boots/BootsInt4
Conjurer Gloves	Art/2DItems/Armours/Gloves/GlovesInt4
Conjurer's Vestment	Art/2DItems/Armours/BodyArmours/BodyInt1C
Conqueror's Helmet	Art/2DItems/Armours/Helmets/HelmetStr10
Conquest Chainmail	Art/2DItems/Armours/BodyArmours/BodyStrInt2B
Conquest Helmet	Art/2DItems/Armours/Helmets/HelmetStrDex7
Conquest Lamellar	Art/2DItems/Armours/BodyArmours/BodyStr4A
Convening Wand	Art/2DItems/Weapons/OneHandWeapons/Wands/ConvokingWand
Convoking Wand	Art/2DItems/Weapons/OneHandWeapons/Wands/ConvokingWand
Copper Kris	Art/2DItems/Weapons/OneHandWeapons/Daggers/Dagger6
Copper Plate	Art/2DItems/Armours/BodyArmours/BodyStr1B
Copper Sword	Art/2DItems/Weapons/OneHandWeapons/OneHandSwords/OneHandSword2
Copper Tower Shield	Art/2DItems/Armours/Shields/ShieldStr5
Coral Amulet	Art/2DItems/Amulets/Amulet2
Coral Ring	Art/2DItems/Rings/Ring2
Coronal Leather	Art/2DItems/Armours/BodyArmours/BodyDex3C
Coronal Maul	Art/2DItems/Weapons/TwoHandWeapons/TwoHandMaces/TwoHandMace8
Corroded Blade	Art/2DItems/Weapons/TwoHandWeapons/TwoHandSwords/TwoHandSword1
Corroded Tower Shield	Art/2DItems/Armours/Shields/ShieldStr2
Corrugated Buckler	Art/2DItems/Armours/Shields/ShieldDex4
Corsair Sword	Art/2DItems/Weapons/OneHandWeapons/OneHandSwords/OneHandSword3
Corundum Flask	Art/2DItems/Flasks/AntiStunFlask
Courtesan Sword	Art/2DItems/Weapons/OneHandWeapons/Rapiers/Rapier9
Crack Mace	Art/2DItems/Weapons/OneHandWeapons/OneHandMaces/HeistOneHandMace
Crescent Staff	Art/2DItems/Weapons/TwoHandWeapons/Staves/Staff8
Crested Tower Shield	Art/2DItems/Armours/Shields/ShieldStr7
Crimson Jewel	Art/2DItems/Jewels/basicstr
Crimson Raiment	Art/2DItems/Armours/BodyArmours/BodyDexInt1C
Crimson Round Shield	Art/2DItems/Armours/Shields/ShieldStrDex4
Crude Bow	Art/2DItems/Weapons/TwoHandWeapons/Bows/Bow1
Crusader Boots	Art/2DItems/Armours/Boots/BootsStrInt3
Crusader Buckler	Art/2DItems/Armours/Shields/ShieldDex5
Crusader Chainmail	Art/2DItems/Armours/BodyArmours/BodyStrInt2B
Crusader Gloves	Art/2DItems/Armours/Gloves/GlovesStrInt3
Crusader Helmet	Art/2DItems/Armours/Helmets/HelmetStrInt4
Crusader Plate	Art/2DItems/Armours/BodyArmours/BodyStr2B
Crushing Force Magnifier	Art/2DItems/Weapons/TwoHandWeapons/TwoHandMaces/HeistTwoHandMace
Crypt Armour	Art/2DItems/Armours/BodyArmours/BodyDexInt4C
Crystal Belt	Art/2DItems/Belts/CrystalBelt
Crystal Sceptre	Art/2DItems/Weapons/OneHandWeapons/Scepters/scepter4
Crystal Wand	Art/2DItems/Weapons/OneHandWeapons/Wands/Wand4
Cured Quiver	Art/2DItems/Quivers/Quiver1
Curved Blade	Art/2DItems/Weapons/TwoHandWeapons/TwoHandSwords/TwoHandSword8
Cutlass	Art/2DItems/Weapons/OneHandWeapons/OneHandSwords/OneHandSword3
Cutthroat's Garb	Art/2DItems/Armours/BodyArmours/BodyDex2C
Dagger Axe	Art/2DItems/Weapons/TwoHandWeapons/TwoHandAxes/TwoHandAxe8
Darksteel Treads	Art/2DItems/Armours/Boots/RitualStrBoots
Darkwood Sceptre	Art/2DItems/Weapons/OneHandWeapons/Scepters/scepter2
Deadhand Talisman	Art/2DItems/Amulets/TalismanWhite4
Death Bow	Art/2DItems/Weapons/TwoHandWeapons/Bows/Bow8
Decimation Bow	Art/2DItems/Weapons/TwoHandWeapons/Bows/Bow8
Decorative Axe	Art/2DItems/Weapons/OneHandWeapons/OneHandAxes/OneHandAxe7
Decurve Bow	Art/2DItems/Weapons/TwoHandWeapons/Bows/Bow3
Deep One Talisman	Art/2DItems/Amulets/TalismanWhite5
Deerskin Boots	Art/2DItems/Armours/Boots/BootsDex3
Deerskin Gloves	Art/2DItems/Armours/Gloves/GlovesDex3
Deicide Mask	Art/2DItems/Armours/Helmets/HelmetDexInt11
Demon Crown	Art/2DItems/Armours/Helmets/MaskCrown
Demon Dagger	Art/2DItems/Weapons/OneHandWeapons/Daggers/Dagger8
Demon's Horn	Art/2DItems/Weapons/OneHandWeapons/Wands/Wand2
Desert Brigandine	Art/2DItems/Armours/BodyArmours/BodyStrDex2B
Despot Axe	Art/2DItems/Weapons/TwoHandWeapons/TwoHandAxes/TwoHandAxe6
Destiny Leather	Art/2DItems/Armours/BodyArmours/BodyDex3B
Destroyer Regalia	Art/2DItems/Armours/BodyArmours/BodyStrDexInt1C
Devout Chainmail	Art/2DItems/Armours/BodyArmours/BodyStrInt3C
Diamond Flask	Art/2DItems/Flasks/diamond
Diamond Ring	Art/2DItems/Rings/DiamondRing
Dire Pelt	Art/2DItems/Armours/Helmets/HelmetDex4
Disapprobation Axe	Art/2DItems/Weapons/OneHandWeapons/OneHandAxes/HeistOnehandAxe
Divine Crown	Art/2DItems/Armours/Helmets/HelmetStrInt9
Divine Life Flask	Art/2DItems/Flasks/lifeflask11
Divine Mana Flask	Art/2DItems/Flasks/manaflask11
Double Axe	Art/2DItems/Weapons/TwoHandWeapons/TwoHandAxes/TwoHandAxe5
Double Claw	Art/2DItems/Weapons/OneHandWeapons/Claws/Claw9
Dragon Mace	Art/2DItems/Weapons/OneHandWeapons/OneHandMaces/OneHandMace9
Dragonbone Rapier	Art/2DItems/Weapons/OneHandWeapons/Rapiers/Rapier2
Dragonscale Boots	Art/2DItems/Armours/Boots/BootsStrDex3
Dragonscale Doublet	Art/2DItems/Armours/BodyArmours/BodyStrDex1B
Dragonscale Gauntlets	Art/2DItems/Armours/Gloves/GlovesStrDex3
Dragoon Sword	Art/2DItems/Weapons/OneHandWeapons/Rapiers/Rapier9
Dread Maul	Art/2DItems/Weapons/TwoHandWeapons/TwoHandMaces/TwoHandMace7
Dream Mace	Art/2DItems/Weapons/OneHandWeapons/OneHandMaces/OneHandMace8
Dreamquest Slippers	Art/2DItems/Armours/Boots/RitualIntBoots
Driftwood Club	Art/2DItems/Weapons/OneHandWeapons/OneHandMaces/OneHandMace1
Driftwood Maul	Art/2DItems/Weapons/TwoHandWeapons/TwoHandMaces/TwoHandMace1
Driftwood Sceptre	Art/2DItems/Weapons/OneHandWeapons/Scepters/scepter1
Driftwood Spiked Shield	Art/2DItems/Armours/Shields/ShieldDexInt2
Driftwood Wand	Art/2DItems/Weapons/OneHandWeapons/Wands/Wand1
Dusk Blade	Art/2DItems/Weapons/OneHandWeapons/OneHandSwords/OneHandSword8
Dusk Ring	Art/2DItems/Rings/LakeRing1
Duskwalk Slippers	Art/2DItems/Armours/Boots/RitualIntBoots
Eagle Claw	Art/2DItems/Weapons/OneHandWeapons/Claws/Claw8
Ebony Tower Shield	Art/2DItems/Armours/Shields/ShieldStr4
Eclipse Staff	Art/2DItems/Weapons/TwoHandWeapons/Staves/Staff8
Eelskin Boots	Art/2DItems/Armours/Boots/BootsDex2
Eelskin Gloves	Art/2DItems/Armours/Gloves/GlovesDex2
Eelskin Tunic	Art/2DItems/Armours/BodyArmours/BodyDex1B
Elder Sword	Art/2DItems/Weapons/OneHandWeapons/OneHandSwords/OneHandSword6
Elegant Foil	Art/2DItems/Weapons/OneHandWeapons/Rapiers/Rapier7
Elegant Ringmail	Art/2DItems/Armours/BodyArmours/BodyStrInt1C
Elegant Round Shield	Art/2DItems/Armours/Shields/ShieldStrDex5
Elegant Sword	Art/2DItems/Weapons/OneHandWeapons/OneHandSwords/OneHandSword7
Embroidered Gloves	Art/2DItems/Armours/Gloves/GlovesInt4
Enameled Buckler	Art/2DItems/Armours/Shields/ShieldDex3
Endothermic Buckler	Art/2DItems/Armours/Shields/DexHeistShield
Energy Blade	Art/2DItems/Gems/StormBladeGem
Engraved Greatsword	Art/2DItems/Weapons/TwoHandWeapons/TwoHandSwords/TwoHandSword5
Engraved Hatchet	Art/2DItems/Weapons/OneHandWeapons/OneHandAxes/OneHandAxe9
Engraved Wand	Art/2DItems/Weapons/OneHandWeapons/Wands/Wand3
Estoc	Art/2DItems/Weapons/OneHandWeapons/Rapiers/Rapier4
Etched Greatsword	Art/2DItems/Weapons/TwoHandWeapons/TwoHandSwords/TwoHandSword5
Etched Hatchet	Art/2DItems/Weapons/OneHandWeapons/OneHandAxes/OneHandAxe9
Etched Kite Shield	Art/2DItems/Armours/Shields/ShieldStrInt2
Eternal Burgonet	Art/2DItems/Armours/Helmets/HelmetStr11
Eternal Life Flask	Art/2DItems/Flasks/lifeflask12
Eternal Mana Flask	Art/2DItems/Flasks/manaflask12
Eternal Sword	Art/2DItems/Weapons/OneHandWeapons/OneHandSwords/OneHandSword7
Eventuality Rod	Art/2DItems/Weapons/TwoHandWeapons/Staves/HeistWarStaff
Exhausting Spirit Shield	Art/2DItems/Armours/Shields/IntHeistShield
Exothermic Tower Shield	Art/2DItems/Armours/Shields/HeistShield
Exquisite Blade	Art/2DItems/Weapons/TwoHandWeapons/TwoHandSwords/TwoHandSword8
Exquisite Leather	Art/2DItems/Armours/BodyArmours/BodyDex1C
Eye Gouger	Art/2DItems/Weapons/OneHandWeapons/Claws/Claw5
Ezomyte Axe	Art/2DItems/Weapons/TwoHandWeapons/TwoHandAxes/TwoHandAxe4
Ezomyte Blade	Art/2DItems/Weapons/TwoHandWeapons/TwoHandSwords/TwoHandSword4
Ezomyte Burgonet	Art/2DItems/Armours/Helmets/HelmetStr9
Ezomyte Dagger	Art/2DItems/Weapons/OneHandWeapons/Daggers/Dagger5
Ezomyte Spiked Shield	Art/2DItems/Armours/Shields/ShieldDexInt3
Ezomyte Staff	Art/2DItems/Weapons/TwoHandWeapons/Staves/Staff4
Ezomyte Tower Shield	Art/2DItems/Armours/Shields/ShieldStr5
Faithful Helmet	Art/2DItems/Armours/Helmets/HelmetStrInt4
Fancy Foil	Art/2DItems/Weapons/OneHandWeapons/Rapiers/Rapier7
Fangjaw Talisman	Art/2DItems/Amulets/TalismanBlack5
Faun's Horn	Art/2DItems/Weapons/OneHandWeapons/Wands/Wand2
Feathered Arrow Quiver	Art/2DItems/Quivers/FeatheredArrowQuiver
Fencer Helm	Art/2DItems/Armours/Helmets/HelmetStrDex6
Festival Mask	Art/2DItems/Armours/Helmets/HelmetDexInt4
Fickle Spiritblade	Art/2DItems/Weapons/OneHandWeapons/OneHandSwords/HeistOneHandSword
Field Lamellar	Art/2DItems/Armours/BodyArmours/BodyStr4A
Fiend Dagger	Art/2DItems/Weapons/OneHandWeapons/Daggers/Dagger8
Fingerless Silk Gloves	Art/2DItems/Armours/Gloves/FingerlessSilkGloves
Fir Round Shield	Art/2DItems/Armours/Shields/ShieldStrDex2
Fire Arrow Quiver	Art/2DItems/Quivers/QuiverFire
Fishing Rod	Art/2DItems/Weapons/TwoHandWeapons/FishingRods/FishingRod1
Fishscale Gauntlets	Art/2DItems/Armours/Gloves/GlovesStrDex1
Flanged Mace	Art/2DItems/Weapons/OneHandWeapons/OneHandMaces/OneHandMace6
Flare Mace	Art/2DItems/Weapons/OneHandWeapons/OneHandMaces/HeistOneHandMace
Flashfire Blade	Art/2DItems/Weapons/OneHandWeapons/Daggers/HeistRuneDagger
Flaying Knife	Art/2DItems/Weapons/OneHandWeapons/Daggers/Dagger2
Fleshripper	Art/2DItems/Weapons/TwoHandWeapons/TwoHandAxes/TwoHandAxe8
Flickerflame Blade	Art/2DItems/Weapons/OneHandWeapons/Daggers/HeistRuneDagger
Fluted Bascinet	Art/2DItems/Armours/Helmets/HelmetStrDex8
Focused Amulet	Art/2DItems/Amulets/HeistAmulet1Silver
Footman Sword	Art/2DItems/Weapons/TwoHandWeapons/TwoHandSwords/TwoHandSword3
Fossilised Spirit Shield	Art/2DItems/Armours/Shields/ShieldInt3
Foul Staff	Art/2DItems/Weapons/TwoHandWeapons/Staves/Staff7
Foundry Bow	Art/2DItems/Weapons/TwoHandWeapons/Bows/HeistBowFire
Fright Claw	Art/2DItems/Weapons/OneHandWeapons/Claws/Claw8
Fright Maul	Art/2DItems/Weapons/TwoHandWeapons/TwoHandMaces/TwoHandMace7
Frontier Leather	Art/2DItems/Armours/BodyArmours/BodyDex3B
Fugitive Boots	Art/2DItems/Armours/Boots/HalfTonedBoots
Fulgurite Tincture	Art/2DItems/Flasks/ShockSap
Full Chainmail	Art/2DItems/Armours/BodyArmours/BodyStrInt2C
Full Dragonscale	Art/2DItems/Armours/BodyArmours/BodyStrDex1C
Full Leather	Art/2DItems/Armours/BodyArmours/BodyDex1C
Full Plate	Art/2DItems/Armours/BodyArmours/BodyStr1C
Full Ringmail	Art/2DItems/Armours/BodyArmours/BodyStrInt1C
Full Scale Armour	Art/2DItems/Armours/BodyArmours/BodyStrDex1C
Full Wyrmscale	Art/2DItems/Armours/BodyArmours/BodyStrDex1C
Full Wyvernscale	Art/2DItems/Armours/BodyArmours/BodyStrDex1C
Gale Crown	Art/2DItems/Armours/Helmets/HelmetDexIntR
Gavel	Art/2DItems/Weapons/OneHandWeapons/OneHandMaces/OneHandMace4
Gemini Claw	Art/2DItems/Weapons/OneHandWeapons/Claws/Claw9
Gemstone Sword	Art/2DItems/Weapons/OneHandWeapons/OneHandSwords/OneHandSword2
General's Brigandine	Art/2DItems/Armours/BodyArmours/BodyStrDex2C
General's Helmet	Art/2DItems/Armours/Helmets/HelmetStr9
Geodesic Ring	Art/2DItems/Rings/HeistRing2
Ghastly Eye Jewel	Art/2DItems/Jewels/GhastlyEye
Giant Life Flask	Art/2DItems/Flasks/lifeflask6
Giant Mana Flask	Art/2DItems/Flasks/manaflask6
Giantslayer Helmet	Art/2DItems/Armours/Helmets/HelmetStr11
Gilded Axe	Art/2DItems/Weapons/TwoHandWeapons/TwoHandAxes/TwoHandAxe6
Gilded Buckler	Art/2DItems/Armours/Shields/ShieldDex6
Gilded Sallet	Art/2DItems/Armours/Helmets/HelmetStrDex4
Girded Tower Shield	Art/2DItems/Armours/Shields/ShieldStr6
Gladiator Helmet	Art/2DItems/Armours/Helmets/HelmetStr5
Gladiator Plate	Art/2DItems/Armours/BodyArmours/BodyStr2C
Gladius	Art/2DItems/Weapons/OneHandWeapons/OneHandSwords/OneHandSword4
Glass Shank	Art/2DItems/Weapons/OneHandWeapons/Daggers/Dagger1
