Charan's Sword	One Handed Sword	
Chest Splitter	One Handed Axe	
Chestplate	Body Armour	Armour
Chieftain Talisman	Amulet	Talisman
Chimeral Talisman	Amulet	Talisman
Chimerascale Boots	Boots	Armour/Evasion
Chimerascale Gauntlets	Gloves	Armour/Evasion
Chiming Spirit Shield	Shield	Energy Shield
Chrysalis Talisman	Amulet	Talisman
Citadel Bow	Bow	
Citrine Amulet	Amulet	
Clasped Boots	Boots	Evasion/Energy Shield
Clasped Mitts	Gloves	Evasion/Energy Shield
Cleaver	One Handed Axe	
Close Helmet	Helmet	Armour
Cloth Belt	Belt	
Cloudwhisper Boots	Boots	Evasion
Clutching Talisman	Amulet	Talisman
Cobalt Jewel	Jewel	
Cobra Talisman	Amulet	Talisman
Cogwork Ring	Ring	
Coiled Staff	Staff	Warstaff
Coiled Wand	Wand	
Cold-attuned Buckler	Shield	Evasion
Colossal Hybrid Flask	Flask	Hybrid
Colossal Life Flask	Flask	Life
Colossal Mana Flask	Flask	Mana
Colossal Tower Shield	Shield	Armour
Colosseum Plate	Body Armour	Armour
Colossus Mallet	Two Handed Mace	
Commander's Brigandine	Body Armour	Armour/Evasion
Composite Bow	Bow	
Composite Ring	Ring	
Compound Bow	Bow	
Compound Spiked Shield	Shield	Evasion/Energy Shield
Conductive Quiver	Quiver	
Cone Helmet	Helmet	Armour
Congregator Wand	Wand	
Conjurer Boots	Boots	Energy Shield
Conjurer Gloves	Gloves	Energy Shield
Conjurer's Vestment	Body Armour	Energy Shield
Conqueror's Helmet	Helmet	Armour
Conquest Chainmail	Body Armour	Armour/Energy Shield
Conquest Helmet	Helmet	Armour/Evasion
Conquest Lamellar	Body Armour	Armour/Evasion
Convening Wand	Wand	
Convoking Wand	Wand	
Copper Kris	Dagger	Rune Dagger
Copper Plate	Body Armour	Armour
Copper Sword	One Handed Sword	
Copper Tower Shield	Shield	Armour
Coral Amulet	Amulet	
Coral Ring	Ring	
Cord Belt	Belt	
Coronal Leather	Body Armour	Evasion
Coronal Maul	Two Handed Mace	
Corroded Blade	Two Handed Sword	
Corroded Tower Shield	Shield	Armour
Corrugated Buckler	Shield	Evasion
Corsair Sword	One Handed Sword	
Corundum Flask	Flask	Utility
Corvine Charm	Jewel	Charm
Courtesan Sword	One Handed Sword	Thrusting
Crack Mace	One Handed Mace	
Craicic Talisman	Amulet	Talisman
Crescent Staff	Staff	
Crested Tower Shield	Shield	Armour
Crimson Jewel	Jewel	
Crimson Raiment	Body Armour	Evasion/Energy Shield
Crimson Round Shield	Shield	Armour/Evasion
Croaker Talisman	Amulet	Talisman
Crude Bow	Bow	
Crusader Boots	Boots	Armour/Energy Shield
Crusader Buckler	Shield	Evasion
Crusader Chainmail	Body Armour	Armour/Energy Shield
Crusader Gloves	Gloves	Armour/Energy Shield
Crusader Helmet	Helmet	Armour/Energy Shield
Crusader Plate	Body Armour	Armour
Crushing Force Magnifier	Two Handed Mace	
Cryonic Ring	Ring	
Crypt Armour	Body Armour	Evasion/Energy Shield
Crystal Belt	Belt	
Crystal Sceptre	Sceptre	
Crystal Wand	Wand	
Cured Quiver	Quiver	
Curved Blade	Two Handed Sword	
Cutlass	One Handed Sword	
Cutthroat's Garb	Body Armour	Evasion
Dagger Axe	Two Handed Axe	
Darksteel Treads	Boots	Armour
Darkwood Sceptre	Sceptre	
Deadhand Talisman	Amulet	Talisman
Death Bow	Bow	
Decimation Bow	Bow	
Decorative Axe	One Handed Axe	
Decurve Bow	Bow	
Deep One Talisman	Amulet	Talisman
Deerskin Boots	Boots	Evasion
Deerskin Gloves	Gloves	Evasion
Deicide Mask	Helmet	Evasion/Energy Shield
Demon Crown	Helmet	Armour/Energy Shield
Demon Dagger	Dagger	Rune Dagger
Demon's Horn	Wand	
Desert Brigandine	Body Armour	Armour/Evasion
Despot Axe	Two Handed Axe	
Destiny Leather	Body Armour	Evasion
Destroyer Regalia	Body Armour	Energy Shield
Devourer Talisman	Amulet	Talisman
Devout Chainmail	Body Armour	Armour/Energy Shield
Diamond Flask	Flask	Utility
Diamond Ring	Ring	
Dire Pelt	Helmet	Evasion
Disapprobation Axe	One Handed Axe	
Divine Crown	Helmet	Armour/Energy Shield
Divine Life Flask	Flask	Life
Divine Mana Flask	Flask	Mana
Double Axe	Two Handed Axe	
Double Claw	Claw	
Dragon Mace	One Handed Mace	
Dragonbone Rapier	One Handed Sword	Thrusting
Dragonscale Boots	Boots	Armour/Evasion
Dragonscale Doublet	Body Armour	Armour/Evasion
Dragonscale Gauntlets	Gloves	Armour/Evasion
Dragoon Sword	One Handed Sword	Thrusting
Draining Eshgraft	Graft	
Dread Maul	Two Handed Mace	
Dream Mace	One Handed Mace	
Dreamquest Slippers	Boots	Energy Shield
Driftwood Club	One Handed Mace	
Driftwood Maul	Two Handed Mace	
Driftwood Sceptre	Sceptre	
Driftwood Spiked Shield	Shield	Evasion/Energy Shield
Driftwood Wand	Wand	
Dusk Blade	One Handed Sword	
Dusk Ring	Ring	
Duskwalk Slippers	Boots	Energy Shield
Eagle Claw	Claw	
Ebony Tower Shield	Shield	Armour
Eclipse Staff	Staff	
Eelskin Boots	Boots	Evasion
Eelskin Gloves	Gloves	Evasion
Eelskin Tunic	Body Armour	Evasion
Elder Sword	One Handed Sword	
Elegant Foil	One Handed Sword	Thrusting
Elegant Ringmail	Body Armour	Armour/Energy Shield
Elegant Round Shield	Shield	Armour/Evasion
Elegant Sword	One Handed Sword	
Embroidered Gloves	Gloves	Energy Shield
Enameled Buckler	Shield	Evasion
Endothermic Buckler	Shield	Evasion
Energy Blade One Handed	One Handed Sword	
Energy Blade Two Handed	Two Handed Sword	
Engraved Greatsword	Two Handed Sword	
Engraved Hatchet	One Handed Axe	
Engraved Wand	Wand	
Enthalpic Ring	Ring	
Erupting Xophgraft	Graft	
Estoc	One Handed Sword	Thrusting
Etched Greatsword	Two Handed Sword	
Etched Hatchet	One Handed Axe	
Etched Kite Shield	Shield	Armour/Energy Shield
Eternal Burgonet	Helmet	Armour
Eternal Life Flask	Flask	Life
Eternal Mana Flask	Flask	Mana
Eternal Sword	One Handed Sword	
Ethereal Blade	Dagger	
Ethereal Bow	Bow	
Eventuality Rod	Staff	Warstaff
Exhausting Spirit Shield	Shield	Energy Shield
Exothermic Tower Shield	Shield	Armour
Exquisite Blade	Two Handed Sword	
Exquisite Leather	Body Armour	Evasion
Eye Gouger	Claw	
Ezomyte Axe	Two Handed Axe	
Ezomyte Blade	Two Handed Sword	
Ezomyte Burgonet	Helmet	Armour
Ezomyte Dagger	Dagger	Rune Dagger
Ezomyte Spiked Shield	Shield	Evasion/Energy Shield
Ezomyte Staff	Staff	Warstaff
Ezomyte Tower Shield	Shield	Armour
Faithful Helmet	Helmet	Armour/Energy Shield
Fancy Foil	One Handed Sword	Thrusting
Fangjaw Talisman	Amulet	Talisman
Farric Talisman	Amulet	Talisman
Faun's Horn	Wand	
Feathered Arrow Quiver	Quiver	
Fencer Helm	Helmet	Armour/Evasion
Fenumal Talisman	Amulet	Talisman
Festival Mask	Helmet	Evasion/Energy Shield
Fickle Spiritblade	One Handed Sword	
Field Lamellar	Body Armour	Armour/Evasion
Fiend Dagger	Dagger	Rune Dagger
Fingerless Silk Gloves	Gloves	Energy Shield
Fir Round Shield	Shield	Armour/Evasion
Fire Arrow Quiver	Quiver	
Fishing Rod	Fishing Rod	
Fishscale Gauntlets	Gloves	Armour/Evasion
Flame Hellion Talisman	Amulet	Talisman
Flamecaller Xophgraft	Graft	
Flanged Mace	One Handed Mace	
Flare Mace	One Handed Mace	
Flashfire Blade	Dagger	Rune Dagger
Flaying Knife	Dagger	
Fleshripper	Two Handed Axe	
Flickerflame Blade	Dagger	Rune Dagger
Fluted Bascinet	Helmet	Armour/Evasion
Focused Amulet	Amulet	
Footman Sword	Two Handed Sword	
Formless Ring	Ring	
Fossilised Spirit Shield	Shield	Energy Shield
Foul Staff	Staff	Warstaff
Foundry Bow	Bow	
Freezing Tulgraft	Graft	
Fright Claw	Claw	
Fright Maul	Two Handed Mace	
Frontier Leather	Body Armour	Evasion
Frost Hellion Talisman	Amulet	Talisman
Fugitive Boots	Boots	Evasion/Energy Shield
Fugitive Ring	Ring	
Fulgurite Tincture	Tincture	
Full Chainmail	Body Armour	Armour/Energy Shield
Full Dragonscale	Body Armour	Armour/Evasion
Full Leather	Body Armour	Evasion
Full Plate	Body Armour	Armour
Full Ringmail	Body Armour	Armour/Energy Shield
Full Scale Armour	Body Armour	Armour/Evasion
Full Wyrmscale	Body Armour	Armour/Evasion
Full Wyvernscale	Body Armour	Armour/Evasion
Gale Crown	Helmet	Evasion/Energy Shield
Gargantuan Talisman	Amulet	Talisman
Gavel	One Handed Mace	
Gemini Claw	Claw	
Gemstone Sword	One Handed Sword	
General's Brigandine	Body Armour	Armour/Evasion
General's Helmet	Helmet	Armour
Geodesic Ring	Ring	
Ghastly Eye Jewel	Jewel	Abyss
Ghostflame Blade	One Handed Sword	
Giant Life Flask	Flask	Life
Giant Mana Flask	Flask	Mana
Giantslayer Helmet	Helmet	Armour
Gilded Axe	Two Handed Axe	
Gilded Buckler	Shield	Evasion
Gilded Sallet	Helmet	Armour/Evasion
Girded Tower Shield	Shield	Armour
Gladiator Helmet	Helmet	Armour
Gladiator Plate	Body Armour	Armour
Gladius	One Handed Sword	
Glass Shank	Dagger	
Gloam Ring	Ring	
Glorious Leather	Body Armour	Evasion
Glorious Plate	Body Armour	Armour
Gnarled Branch	Staff	
Goat's Horn	Wand	
Goathide Boots	Boots	Evasion
Goathide Buckler	Shield	Evasion
Goathide Gloves	Gloves	Evasion
Goatman Talisman	Amulet	Talisman
Gold Amulet	Amulet	
Gold Flask	Flask	Utility
Gold Ring	Ring	
Golden Bracers	Gloves	
Golden Buckler	Shield	Evasion
Golden Caligae	Boots	
Golden Flame	Shield	
Golden Hoop	Ring	
Golden Kris	Dagger	Rune Dagger
Golden Mantle	Body Armour	Armour/Evasion/Energy Shield
Golden Mask	Helmet	Evasion/Energy Shield
Golden Obi	Belt	
Golden Plate	Body Armour	Armour
Golden Wreath	Helmet	
Goliath Gauntlets	Gloves	Armour
Goliath Greaves	Boots	Armour
Goliath Talisman	Amulet	Talisman
Gouger	Claw	
Graceful Sword	One Handed Sword	
Grand Life Flask	Flask	Life
Grand Mana Flask	Flask	Mana
Grand Ringmail	Body Armour	Armour/Energy Shield
Granite Flask	Flask	Utility
Grappler	One Handed Sword	
Grasping Mail	Body Armour	Armour/Evasion/Energy Shield
Great Crown	Helmet	Armour/Energy Shield
Great Helmet	Helmet	Armour/Energy Shield
Great Mallet	Two Handed Mace	
Great Maw Talisman	Amulet	Talisman
Great White Claw	Claw	
Greater Life Flask	Flask	Life
Greater Mana Flask	Flask	Mana
Greatwolf Talisman	Amulet	Talisman
Grinning Fetish	Sceptre	
Gripped Gloves	Gloves	Evasion
Grizzly Pelt	Helmet	Evasion
Grove Bow	Bow	
Guarding Gauntlets	Gloves	Armour
Gut Ripper	Claw	
Gutting Knife	Dagger	
Hallowed Hybrid Flask	Flask	Hybrid
Hallowed Life Flask	Flask	Life
Hallowed Mana Flask	Flask	Mana
Hammered Buckler	Shield	Evasion
Harbinger Bow	Bow	
Hardening Uulgraft	Graft	
Harlequin Mask	Helmet	Evasion/Energy Shield
Harmonic Spirit Shield	Shield	Energy Shield
Harpy Rapier	One Handed Sword	Thrusting
Harpyskin Boots	Boots	Evasion
Harpyskin Gloves	Gloves	Evasion
Haunted Bascinet	Helmet	Armour/Evasion
Headman's Sword	Two Handed Sword	
Headsman Axe	Two Handed Axe	
Heat-attuned Tower Shield	Shield	Armour
Heathen Wand	Wand	
Heavy Arrow Quiver	Quiver	
Heavy Belt	Belt	
Heavy Quiver	Quiver	
Hedron Bow	Bow	
Helical Ring	Ring	
Hellion's Paw	Claw	
Hexclaw Talisman	Amulet	Talisman
Highborn Bow	Bow	
Highborn Staff	Staff	
Highland Blade	Two Handed Sword	
Hollowpoint Dagger	Dagger	
Holy Chainmail	Body Armour	Armour/Energy Shield
Honed Cleaver	Two Handed Axe	
Hook Sword	One Handed Sword	
Horned Sceptre	Sceptre	
Horned Talisman	Amulet	Talisman
Hubris Circlet	Helmet	Energy Shield
Hunter Hood	Helmet	Evasion
Hussar Brigandine	Body Armour	Armour/Evasion
Hybrid Arachnid Talisman	Amulet	Talisman
Hydrascale Boots	Boots	Armour/Evasion
Hydrascale Gauntlets	Gloves	Armour/Evasion
Hypnotic Eye Jewel	Jewel	Abyss
Imbued Wand	Wand	
Imp Crown	Helmet	Armour/Energy Shield
Imp Dagger	Dagger	Rune Dagger
Impact Force Propagator	Two Handed Mace	
Impaling Uulgraft	Graft	
Imperial Bow	Bow	
Imperial Buckler	Shield	Evasion
Imperial Claw	Claw	
Imperial Maul	Two Handed Mace	
Imperial Skean	Dagger	Rune Dagger
Imperial Staff	Staff	
Infantry Brigandine	Body Armour	Armour/Evasion
Infernal Axe	One Handed Axe	
Infernal Blade	Dagger	Rune Dagger
Infernal Sword	Two Handed Sword	
Infiltrator Boots	Boots	Evasion/Energy Shield
Infiltrator Mitts	Gloves	Evasion/Energy Shield
Iolite Ring	Ring	
Iron Circlet	Helmet	Energy Shield
Iron Flask	Flask	Utility
Iron Gauntlets	Gloves	Armour
Iron Greaves	Boots	Armour
Iron Hat	Helmet	Armour
Iron Mask	Helmet	Evasion/Energy Shield
Iron Ring	Ring	
Iron Sceptre	Sceptre	
Iron Staff	Staff	Warstaff
Ironscale Boots	Boots	Armour/Evasion
Ironscale Gauntlets	Gloves	Armour/Evasion
Ironwood Buckler	Shield	Evasion
Ironwood Tincture	Tincture	
Ivory Bow	Bow	
Ivory Spirit Shield	Shield	Energy Shield
Jade Amulet	Amulet	
Jade Chopper	Two Handed Axe	
Jade Flask	Flask	Utility
Jade Hatchet	One Handed Axe	
Jagged Foil	One Handed Sword	Thrusting
Jagged Maul	Two Handed Mace	
Jasper Axe	One Handed Axe	
Jasper Chopper	Two Handed Axe	
Jester Mask	Helmet	Evasion/Energy Shield
Jet Amulet	Amulet	
Jet Ring	Ring	
Jewelled Foil	One Handed Sword	Thrusting
Jingling Spirit Shield	Shield	Energy Shield
Jolting Eshgraft	Graft	
Judgement Staff	Staff	Warstaff
Karui Axe	One Handed Axe	
Karui Chopper	Two Handed Axe	
Karui Maul	Two Handed Mace	
Karui Sceptre	Sceptre	
Keyblade	Two Handed Sword	
Kinetic Wand	Wand	
Knight Helm	Helmet	Armour/Evasion
Labrys	Two Handed Axe	
Lacewood Spirit Shield	Shield	Energy Shield
Lacquered Buckler	Shield	Evasion
Lacquered Garb	Body Armour	Evasion/Energy Shield
Lacquered Helmet	Helmet	Armour/Evasion
Laminated Kite Shield	Shield	Armour/Energy Shield
Lapis Amulet	Amulet	
Large Cluster Jewel	Jewel	Cluster
Large Hybrid Flask	Flask	Hybrid
Large Life Flask	Flask	Life
Large Mana Flask	Flask	Mana
Lathi	Staff	
Latticed Ringmail	Body Armour	Armour/Energy Shield
Layered Kite Shield	Shield	Armour/Energy Shield
Lead Sceptre	Sceptre	
Leather Belt	Belt	
Leather Cap	Helmet	Evasion
Leather Hood	Helmet	Evasion
Leatherscale Boots	Boots	Armour/Evasion
Legion Boots	Boots	Armour/Energy Shield
Legion Gloves	Gloves	Armour/Energy Shield
Legion Hammer	One Handed Mace	
Legion Plate	Body Armour	Armour
Legion Sword	One Handed Sword	
Leviathan Gauntlets	Gloves	Armour
Leviathan Greaves	Boots	Armour
Leyline Gloves	Gloves	Energy Shield
Lich's Circlet	Helmet	Energy Shield
Light Brigandine	Body Armour	Armour/Evasion
Light Quiver	Quiver	
Linden Kite Shield	Shield	Armour/Energy Shield
Lion Pelt	Helmet	Evasion
Lion Sword	Two Handed Sword	
Lithe Blade	Two Handed Sword	
Lone Antler Talisman	Amulet	Talisman
Long Bow	Bow	
Long Staff	Staff	
Longsword	Two Handed Sword	
Longtooth Talisman	Amulet	Talisman
Lordly Plate	Body Armour	Armour
Loricated Ringmail	Body Armour	Armour/Energy Shield
Lunaris Circlet	Helmet	Energy Shield
Lupine Charm	Jewel	Charm
Lynx Talisman	Amulet	Talisman
Maelstrom Staff	Staff	Warstaff
Mage's Vestment	Body Armour	Energy Shield
Magistrate Crown	Helmet	Armour/Energy Shield
Magma Hound Talisman	Amulet	Talisman
Magmatic Tower Shield	Shield	Armour
Mahogany Tower Shield	Shield	Armour
Majestic Pelt	Helmet	Evasion
Majestic Plate	Body Armour	Armour
Malign Fangs	Claw	
Mallet	Two Handed Mace	
Maltreatment Axe	One Handed Axe	
Mandible Talisman	Amulet	Talisman
Manifold Ring	Ring	
Maple Round Shield	Shield	Armour/Evasion
Maraketh Bow	Bow	
Marble Amulet	Amulet	
Marshall's Brigandine	Body Armour	Armour/Evasion
Martyr Boots	Boots	Armour/Energy Shield
Martyr Gloves	Gloves	Armour/Energy Shield
Meatgrinder	Two Handed Mace	
Mechalarm Belt	Belt	
Mechanical Belt	Belt	
Medium Cluster Jewel	Jewel	Cluster
Medium Hybrid Flask	Flask	Hybrid
Medium Life Flask	Flask	Life
Medium Mana Flask	Flask	Mana
Mesh Boots	Boots	Armour/Energy Shield
Mesh Gloves	Gloves	Armour/Energy Shield
Micro-Distillery Belt	Belt	
Midnight Blade	One Handed Sword	
Military Staff	Staff	Warstaff
Mind Cage	Helmet	Energy Shield
Mirrored Spiked Shield	Shield	Evasion/Energy Shield
Molten Xophgraft	Graft	
Monkey Paw Talisman	Amulet	Talisman
Monkey Paw Talisman (Frenzy)	Amulet	Talisman
Monkey Paw Talisman (Power)	Amulet	Talisman
Monkey Twins Talisman	Amulet	Talisman
Moon Staff	Staff	
Moonlit Circlet	Helmet	Energy Shield
Moonstone Ring	Ring	
Morning Star	Two Handed Mace	
Mosaic Kite Shield	Shield	Armour/Energy Shield
Murder Boots	Boots	Evasion/Energy Shield
Murder Mitts	Gloves	Evasion/Energy Shield
Murderous Eye Jewel	Jewel	Abyss
Nailed Fist	Claw	
Nameless Ring	Ring	
Necromancer Circlet	Helmet	Energy Shield
Necromancer Silks	Body Armour	Energy Shield
Necrotic Armour	Body Armour	Evasion/Energy Shield
Nexus Gloves	Gloves	Energy Shield
Nightmare Bascinet	Helmet	Armour/Evasion
Nightmare Mace	One Handed Mace	
Nightweave Robe	Body Armour	Energy Shield
Nightwind Slippers	Boots	Energy Shield
Noble Axe	Two Handed Axe	
Noble Claw	Claw	
Noble Tricorne	Helmet	Evasion
Nubuck Boots	Boots	Evasion
Nubuck Gloves	Gloves	Evasion
Oak Buckler	Shield	Evasion
Oakbranch Tincture	Tincture	
Occultist's Vestment	Body Armour	Energy Shield
Ochre Sceptre	Sceptre	
Octopus Talisman	Amulet	Talisman
Oiled Coat	Body Armour	Evasion/Energy Shield
Oiled Vest	Body Armour	Evasion/Energy Shield
Omen Wand	Wand	
Onyx Amulet	Amulet	
Opal Ring	Ring	
Opal Sceptre	Sceptre	
Opal Wand	Wand	
Organic Ring	Ring	
Ornate Mace	One Handed Mace	
Ornate Quiver	Quiver	
Ornate Ringmail	Body Armour	Armour/Energy Shield
Ornate Spiked Shield	Shield	Evasion/Energy Shield
Ornate Sword	Two Handed Sword	
Oscillating Sceptre	Sceptre	
Padded Jacket	Body Armour	Evasion/Energy Shield
Padded Vest	Body Armour	Evasion/Energy Shield
Pagan Wand	Wand	
Painted Buckler	Shield	Evasion
Painted Tower Shield	Shield	Armour
Paladin Boots	Boots	Armour/Energy Shield
Paladin Crown	Helmet	Armour/Energy Shield
Paladin Gloves	Gloves	Armour/Energy Shield
Paladin's Hauberk	Body Armour	Armour/Energy Shield
Paua Amulet	Amulet	
Paua Ring	Ring	
Pearlescent Amulet	Amulet	
Pecoraro	One Handed Sword	Thrusting
Penetrating Arrow Quiver	Quiver	
Penitent Mask	Helmet	Armour/Evasion
Penumbra Ring	Ring	
Pernach	One Handed Mace	
Petrified Club	One Handed Mace	
Phantom Boots	Boots	Evasion/Energy Shield
Phantom Mace	One Handed Mace	
Phantom Mitts	Gloves	Evasion/Energy Shield
Pig-Faced Bascinet	Helmet	Armour/Evasion
Piledriver	Two Handed Mace	
Pine Buckler	Shield	Evasion
Pinnacle Tower Shield	Shield	Armour
Pitbull Talisman	Amulet	Talisman
Plague Mask	Helmet	Evasion/Energy Shield
Plagued Arachnid Talisman	Amulet	Talisman
Plank Kite Shield	Shield	Armour/Energy Shield
Plate Vest	Body Armour	Armour
Plated Gauntlets	Gloves	Armour
Plated Greaves	Boots	Armour
Plated Maul	Two Handed Mace	
Platinum Kris	Dagger	Rune Dagger
Platinum Sceptre	Sceptre	
Pneumatic Dagger	Dagger	
Poignard	Dagger	
Poisonberry Tincture	Tincture	
Polar Buckler	Shield	Evasion
Poleaxe	Two Handed Axe	
Polished Spiked Shield	Shield	Evasion/Energy Shield
Potentiality Rod	Staff	Warstaff
Praetor Crown	Helmet	Armour/Energy Shield
Precursor Gauntlets	Gloves	Armour
Precursor Greaves	Boots	Armour
Prehistoric Claw	Claw	
Preserving Gauntlets	Gloves	Armour
Pressurised Dagger	Dagger	
Primal Arrow Quiver	Quiver	
Primal Skull Talisman	Amulet	Talisman
Prime Cleaver	Two Handed Axe	
Primeval Rapier	One Handed Sword	Thrusting
Primitive Staff	Staff	
Primordial Staff	Staff	
Prismatic Jewel	Jewel	
Prismatic Ring	Ring	
Prismatic Tincture	Tincture	
Profane Wand	Wand	
Prong Dagger	Dagger	
Prophecy Wand	Wand	
Prophet Crown	Helmet	Armour/Energy Shield
Psychotic Axe	One Handed Axe	
Quarterstaff	Staff	
